#{"t_start": 1748358787.8974457, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-295.606383,89,0.023089
-330.22765,80,0.378907
-314.063903,129,1.085432
-456.297786,76,1.454258
-619.225368,74,1.771426
-360.288028,53,1.979543
-437.592536,76,2.261143
-378.532125,84,2.592248
-69.55534,109,3.062693
-276.972052,88,3.423927
-27.878368,84,3.795177
-779.526697,163,4.482371
-436.240366,121,4.977264
-330.566282,129,5.498951
-359.58728,102,5.912873
-372.823266,104,6.320771
-612.680379,111,6.761626
-199.545276,74,7.064926
-7.497334,104,7.512975
-244.21915,123,8.159109
-119.387695,98,8.572758
-95.75372,87,8.914455
-169.107351,137,9.488822
-55.588033,116,9.986447
-137.178128,89,10.388783
-56.046366,169,11.082134
-238.710259,140,11.660574
-126.435119,126,13.523286
-279.084686,129,14.023898
-100.753487,100,14.425647
-489.190426,165,15.076383
-178.910491,156,15.677905
-186.791925,114,16.132384
-542.246552,111,16.574747
-490.376937,139,17.196313
-243.792825,169,17.890099
-612.64458,208,18.766971
-441.804562,131,19.338002
-237.022212,124,19.848606
-221.586057,170,20.578556
-121.535769,171,21.375253
-542.659542,562,23.713467
-246.808705,197,24.568512
-256.656198,156,25.165311
-749.601496,455,26.959024
-240.650847,152,27.540671
-592.724909,377,29.102288
-331.104988,226,29.976608
-132.681846,302,31.28967
-205.976059,138,31.881641
-256.560668,119,32.348459
-328.775421,135,32.995555
-227.61006,212,33.923643
-276.149456,139,34.511655
-153.5379,94,34.923948
-272.778997,99,35.427549
-202.491758,136,36.006318
-339.789702,162,36.635869
-307.820723,160,37.243701
-355.66975,180,38.115643
-281.003855,201,38.955449
-267.200353,126,39.435555
-281.014686,174,40.104632
-197.557116,120,40.607571
-367.039617,232,41.596478
-231.389261,111,42.038235
-143.202582,270,43.142356
-228.938928,152,43.741985
-179.305163,134,44.28927
-101.100768,143,44.789045
-147.8448,135,45.268448
-23.645707,170,47.318058
-257.040067,162,48.047376
-39.150663,92,48.393859
-147.665117,168,49.051161
-211.523582,201,49.793186
-180.075429,140,50.357951
-48.198772,239,51.371012
-111.353653,209,52.224347
-70.128135,233,53.135688
-79.019811,131,53.696692
-13.253609,248,54.803426
-193.720338,161,55.508054
-219.006707,194,56.323416
-341.097121,259,57.492288
-156.952437,88,57.845153
15.44645,1000,61.979508
-248.701208,676,64.85132
-301.7831,173,65.587079
-136.787434,252,66.718717
-14.675127,1000,70.702677
-302.674909,133,71.226281
-239.884222,211,72.143323
-355.385702,212,72.939373
-64.556474,288,74.157619
-94.241965,240,75.290054
-270.026343,205,76.194255
-399.774235,221,77.09068
-219.825091,119,77.608023
-123.853086,190,78.440464
-18.332187,1000,83.818624
-202.541352,120,84.277177
-278.652304,208,85.14389
-267.871988,198,85.993414
189.335297,898,89.875692
-225.152751,240,90.905225
-166.073778,122,91.376992
-445.933554,222,92.215827
-40.952677,349,93.682186
-189.738304,572,95.960685
11.823897,278,97.144897
-163.612855,119,97.720003
-100.68551,285,99.027483
-249.200122,210,99.997642
-94.104998,163,100.666555
-104.588401,153,101.333943
-309.872432,139,101.913181
-135.237019,119,102.402168
-302.064998,293,103.51064
-14.262185,289,104.701984
-189.6225,142,105.277629
8.917396,1000,109.451124
-148.473989,177,110.183076
