#{"t_start": 1748361028.3137004, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-101.45592,86,0.031981
-426.531496,123,0.499012
-823.063928,145,1.111734
-795.373381,63,1.379298
-786.209327,80,1.732847
-786.503429,96,2.133031
-1063.057348,196,2.975374
-979.247957,173,3.70431
-513.693849,76,4.093034
-548.011768,134,4.767729
-526.101069,80,5.202811
-510.606369,69,5.541068
-540.150906,100,6.014498
-449.736299,150,6.745199
-272.516556,147,7.446553
-360.475488,293,8.860657
-447.510828,768,12.354246
-530.447176,580,14.987372
-313.3539,331,16.639103
-523.634178,241,17.881728
-221.674912,251,19.088224
-464.359259,93,19.546988
-181.392559,264,20.815581
-157.614186,1000,27.066168
-218.789429,488,29.397752
-947.492262,375,31.284002
-543.041461,949,35.586378
-208.303347,106,36.063465
-721.98379,351,37.526482
-247.729647,187,38.348897
-342.044258,208,39.239208
-216.740256,313,40.63672
-311.67926,339,42.240125
-257.922864,265,43.332017
-388.283438,242,44.35565
-259.059294,192,45.169172
-59.808737,305,46.452387
-163.522862,193,47.329137
-61.091786,274,48.680106
-17.025519,261,49.940541
-34.759021,322,51.471736
-363.657666,158,52.21695
-284.633641,413,54.022804
-187.019394,519,58.176068
-81.281709,374,59.78243
-108.938699,326,61.341674
-224.117157,694,64.674184
-17.038693,222,65.664382
-283.918583,454,67.57761
-63.510664,713,70.649844
-39.763742,366,72.341619
20.369924,280,73.605005
-92.200333,261,74.730808
-37.884978,276,75.989269
-284.343707,173,76.756275
-226.950688,245,77.883687
-175.925915,232,79.035394
-163.338366,211,80.144758
-558.901422,154,80.963982
4.612395,234,82.209553
-97.571468,159,82.960549
-46.469282,504,85.269618
-66.033717,322,86.7377
-220.963622,159,87.482572
-264.41202,163,88.232368
-274.874591,212,89.197654
-280.541359,185,91.881946
-10.164311,274,93.313553
-223.813447,184,94.23144
-180.392293,142,94.954046
-230.965725,144,95.66413
-217.96192,165,96.44115
-218.269734,156,97.14878
-191.22056,144,97.777945
-189.440163,147,98.363266
-263.677404,207,99.250273
-184.118718,138,99.823102
-258.77983,420,101.588665
-205.986531,167,102.282659
-212.051769,175,103.08119
-167.884393,157,103.829822
-230.816729,240,105.011063
-109.853036,449,107.179323
-178.190774,194,108.083592
-226.812259,338,109.5002
-186.72265,231,110.463669
-213.620134,321,111.855158
-139.927655,225,112.788076
-207.860849,328,114.324262
-181.435858,431,116.354907
-212.183549,371,118.098927
-145.265444,525,120.44395
-123.579814,234,121.470162
-169.657311,619,126.071542
-125.62381,582,128.926535
-116.515755,281,130.290504
-75.694269,233,131.384772
-135.913471,476,133.387466
-87.566458,158,134.07055
-78.980676,291,135.279579
-101.634078,1000,140.036678
-89.099655,291,141.441299
-96.319338,274,142.613368
-79.391093,1000,146.938848
-43.738837,523,149.517796
-128.321213,411,151.559387
-16.665154,1000,156.207545
-71.123827,263,159.080511
-97.163848,667,162.605438
-111.900456,128,163.253872
-85.50317,1000,167.838959
43.960938,1000,172.353861
110.588914,639,175.460896
-131.777149,500,177.668606
-157.905147,722,180.850124
-79.136566,128,181.513943
-199.413821,863,185.974551
-79.464104,1000,190.68187
-167.343824,899,196.606209
-54.728598,1000,201.237284
-73.589888,575,203.632489
-128.22997,1000,208.37531
-149.715367,1000,213.320031
-168.836351,800,217.363363
-102.99738,1000,222.087457
-145.149086,1000,228.992692
-228.53123,765,232.462321
-497.778804,738,235.724512
-147.542458,1000,240.553552
-162.780145,1000,244.91306
-164.564303,1000,249.750084
-183.982455,1000,254.671794
-129.456372,1000,261.224373
-140.449621,1000,266.118162
-165.196512,1000,270.9337
-116.59028,1000,275.909975
-158.843758,1000,280.336182
-71.127322,1000,285.194881
-133.558371,1000,289.71858
-126.605954,1000,295.83412
-131.674777,1000,300.550914
-118.291025,1000,304.862122
5.404757,313,306.291327
-86.423125,1000,310.997148
-40.742628,1000,315.624128
45.42652,276,316.986452
-56.40324,1000,321.778236
47.607285,255,322.893885
-101.413069,1000,329.78608
174.593035,735,333.232698
-58.152817,508,335.635826
174.292404,502,338.041254
-43.094641,646,341.089842
6.497811,294,342.356529
21.722112,1000,347.07097
-1.653644,357,348.67431
151.043678,762,352.135167
122.560632,999,357.142648
-21.663459,434,359.100103
-6.587895,371,362.322495
-96.254765,321,363.783521
227.749475,435,365.955523
-70.356138,468,368.235238
-228.358733,918,372.469637
188.45415,741,375.981575
-51.659636,444,378.23996
-22.841337,1000,382.964236
-146.608515,674,385.89836
-41.200205,770,389.769511
-103.151474,507,392.22581
114.142986,881,397.868277
133.591275,858,402.235861
-103.544653,171,403.109683
-77.975952,1000,407.884755
-126.606783,1000,412.48853
-97.167623,1000,417.389083
-74.238282,1000,422.144972
-77.753121,1000,427.131545
-72.82031,1000,433.454044
-84.852923,1000,438.439347
-28.432213,272,439.755076
-72.452492,1000,444.475456
-70.337023,1000,449.229878
-44.447902,168,449.95937
-145.303166,770,453.278253
-129.256038,699,456.763218
-46.997262,584,459.574627
-138.467583,967,465.624083
-111.948156,802,469.518818
130.791096,834,473.514477
43.464457,1000,478.231003
15.378837,352,480.067595
-52.413335,418,482.190075
55.61614,1000,486.827218
15.87432,172,487.583489
-16.567645,1000,492.426104
