#{"t_start": 1748360054.1306307, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-128.390722,118,0.11214
-564.461926,84,0.491672
-700.585191,85,0.859819
-644.974836,174,1.603165
-326.423626,76,1.937611
-126.636692,81,2.286692
-616.160603,84,2.69986
-2.949484,89,3.177671
-169.424614,74,3.537757
-327.777222,107,4.044027
-268.881751,92,4.488403
-54.789518,94,4.940043
-207.844248,83,5.355859
-350.296954,134,6.015299
-599.379562,158,6.832073
-257.132228,274,8.152549
-748.186478,480,10.305406
-364.581387,166,11.035147
-214.86238,110,11.524718
-229.516297,129,12.101052
-281.76919,119,12.634409
-298.921909,113,14.812165
-243.094748,109,15.370943
-272.219716,131,16.03121
-172.957039,111,16.55548
-257.357225,151,17.260586
-266.193853,146,17.971423
-113.570537,156,18.716821
-655.003835,92,19.157651
-544.264917,68,19.476882
-316.696949,173,20.311952
-237.006324,146,20.982162
-316.39499,200,21.859396
-516.805358,191,22.68823
-257.010674,128,23.227907
-115.924042,274,24.440757
-266.18362,193,25.284002
-93.027408,367,26.969366
-340.428352,128,27.604302
-412.494891,94,28.085958
0.27055,175,28.910078
-363.358462,114,29.490083
-171.364479,248,30.656622
-279.490352,137,31.35275
19.399056,180,32.20391
-61.995648,330,33.594923
-1.081269,368,35.223941
-240.368287,233,36.309028
-283.20974,205,37.217009
-293.596875,224,38.282938
-227.486245,146,38.928456
-750.108919,191,39.847713
-133.271577,120,40.417723
-161.97557,175,41.257001
-654.394763,189,42.115874
-211.210492,143,42.856469
-191.200835,313,44.310905
-116.499525,151,44.958647
-210.289871,179,45.728817
-444.125368,262,46.848902
-452.789834,234,49.604047
-82.373924,159,50.288922
-503.134949,330,51.822907
-337.587252,365,53.615713
-384.109963,227,54.711138
-89.435132,154,55.384077
-130.356794,300,56.670123
-126.295533,201,57.5657
-206.188905,206,58.510708
-153.708334,153,59.215581
-151.994285,118,59.78083
-111.572354,117,60.354919
-76.75232,168,61.119644
-58.773132,114,61.673428
-227.380198,153,62.341242
-347.676304,309,63.711599
-119.026598,476,65.768653
-133.426735,102,66.250592
-353.617826,257,67.419801
-301.075311,203,68.446629
-364.619726,406,70.453227
-72.31472,169,71.288497
-59.337697,113,71.797371
-74.55471,162,72.590835
-26.845409,100,73.037125
-60.401383,192,73.860839
-63.962395,206,74.798372
-72.31887,75,75.136979
-56.404884,180,75.932848
-36.02205,83,76.297888
-76.773883,116,76.807385
-41.030685,153,77.495212
-63.665851,95,77.923785
-90.781525,135,78.527615
-82.764245,80,78.956692
-145.380895,96,79.426667
-75.102889,78,79.808567
-90.779281,89,80.259865
-77.877802,190,82.825689
-76.473898,91,83.245425
-10.664246,125,83.87945
-95.78106,134,84.511874
-80.211297,103,85.019779
-68.293313,94,85.488625
-102.998001,138,86.09727
-75.044561,95,86.507483
-64.223483,171,87.248055
-78.404436,87,87.635869
-91.15657,186,88.600082
-72.89424,100,89.087533
-63.337267,177,89.948318
-50.345354,75,90.311657
-40.572008,96,90.757279
-121.138352,194,91.667873
-77.402866,152,92.3841
-81.442853,72,92.706686
-42.465066,192,93.56593
-62.304998,97,94.007158
-180.988936,354,95.771537
-97.854669,261,97.223137
-104.677918,220,98.403049
-177.585258,247,99.618534
-64.544855,84,99.992542
-58.569901,153,100.712239
-179.137731,253,101.933022
10.86408,106,102.531187
-54.78838,82,102.936422
-318.700512,499,105.503897
-79.917477,395,107.264017
-112.644016,365,108.889222
-12.776937,167,109.593098
-206.818653,345,111.108807
-630.798499,737,114.733634
-210.815211,308,117.291385
-345.371904,641,120.094824
-292.041382,750,123.902391
-78.861537,152,124.618419
-16.494038,78,124.986187
-77.927104,149,125.711918
-158.652044,423,127.495911
24.624467,83,127.848197
-84.104055,271,129.033319
-150.063827,611,131.740205
244.364571,335,133.326857
7.417931,352,134.979467
14.75398,164,135.677569
-2.536754,200,136.534166
-14.901968,72,136.847164
-337.979526,219,137.809619
-239.392938,160,138.490556
-272.377542,290,139.748795
-36.589349,108,140.212393
-103.050157,121,140.910663
-71.017227,118,141.463955
-95.396867,129,142.123111
-148.610167,123,142.796331
-126.418673,112,143.372954
-83.267955,93,143.818848
-109.451873,126,144.408882
-112.435588,300,145.822165
-200.27534,413,147.632108
-117.32489,140,149.835577
-89.587952,354,151.396378
-163.637754,111,151.878875
-92.73383,199,152.758004
-162.328605,116,153.305088
-112.508553,81,153.696529
-245.232526,456,155.888742
-137.129977,128,156.465561
-86.13785,150,157.197963
-120.062546,252,158.423757
-151.144046,138,159.077852
-93.559363,339,160.633275
-8.827008,164,161.355258
-21.092986,174,162.079664
-154.695091,133,162.650739
-73.954711,89,163.039505
-147.017066,146,163.680117
-86.397952,85,164.039266
-153.998396,138,164.695479
-75.923465,154,165.385396
