#{"t_start": 1748354333.6762538, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-109.399991,107,0.049237
-667.40293,258,0.959863
-680.43259,59,1.173254
-728.643995,70,1.432599
-452.559107,91,1.772429
-507.21709,75,2.048808
-460.101239,76,2.335706
-640.424525,106,2.758978
-226.644182,197,3.490147
-199.531095,365,4.801232
-711.565758,270,5.815295
-492.656605,180,6.497422
-406.992637,101,6.867238
-409.53787,122,7.304497
-365.527357,151,7.854488
-194.05638,162,8.42664
-82.505076,343,9.693422
-131.294866,600,11.887714
-223.566231,775,14.819361
-157.428646,1000,18.650893
-76.067128,1000,22.290944
-60.597871,1000,26.148879
-177.955148,949,29.785324
198.488121,496,31.676948
31.507376,210,32.458459
-64.898487,404,34.13613
-214.279079,785,37.381531
-13.693548,1000,42.811753
-470.625895,1000,46.738918
134.293129,735,49.712736
-226.834654,446,51.487689
-245.31012,347,52.78817
151.003671,505,54.643543
-105.313484,1000,58.614555
-76.822755,1000,62.723497
-160.70918,623,65.492056
-39.344748,1000,69.743951
-30.253193,1000,75.470939
96.943106,775,78.759411
-119.643528,1000,83.105474
-34.69591,1000,86.919175
46.048942,844,90.643337
-137.87279,760,93.54705
-221.47002,967,97.351273
-229.641999,931,101.372346
-116.962495,650,103.903122
-41.783244,1000,109.298882
-82.973403,1000,113.579181
-16.55742,1000,117.439431
-48.818904,1000,121.151026
-35.639243,1000,125.234612
-74.981439,1000,129.059859
-106.325194,1000,132.945242
-56.495676,1000,137.050366
-80.327461,1000,142.377267
-89.401524,1000,146.544036
-132.124027,1000,150.508867
-165.859402,1000,154.331675
-125.963306,1000,158.51527
-226.706556,1000,162.238499
-159.221027,1000,166.70189
-201.854421,1000,171.003159
64.711045,192,171.935076
-100.770053,1000,177.815735
-247.548738,958,181.816984
-170.103921,775,184.508899
-172.380181,445,186.138652
-139.030188,456,187.891196
-146.318849,609,190.424976
-163.988943,564,192.760621
-158.177285,513,194.64419
-106.364431,349,195.931611
-102.116331,1000,199.765012
-137.746307,439,201.569586
-105.331333,1000,205.428892
-497.217455,92,205.796242
