#{"t_start": 1748360538.2253046, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-129.762197,107,0.064544
-1038.288225,149,0.674629
-691.627723,75,1.00867
-1851.098935,169,1.747842
-395.660943,54,1.976249
-483.821393,89,2.373419
-394.346152,114,4.487067
-1004.220928,107,4.974109
-627.300395,82,5.347078
-227.801854,88,5.722028
-545.316201,78,6.064638
-162.689293,95,6.475172
-140.132513,80,6.861444
-121.263314,92,7.325856
-32.42877,91,7.782443
-243.559689,224,8.893529
-233.064436,64,9.213828
-168.876016,85,9.641296
-585.184087,300,11.042198
-115.009052,360,12.68673
-284.985491,260,13.837851
-478.856088,500,15.97675
-372.253296,887,20.330199
-330.231571,286,21.733089
-350.139025,785,25.123765
-209.033555,475,27.252294
-147.776866,229,28.45086
-218.452427,511,30.714851
-134.450585,213,31.707875
-133.005157,247,32.795701
-164.870214,468,35.019891
-180.440876,643,40.263602
-161.310711,173,41.10891
-119.622091,291,42.388554
-73.0723,259,43.586351
-202.376649,405,45.424699
-134.473359,264,46.675107
-158.88681,268,47.871474
-94.351381,266,49.064795
-425.104519,335,50.646108
-160.761915,403,52.661135
-186.138559,167,53.506645
-165.901934,185,54.411091
-73.023975,193,55.461225
-192.503349,189,56.3073
-209.166713,314,57.808345
-216.556787,82,58.260925
-213.619739,230,59.384029
-222.78762,406,61.507787
-264.367613,596,64.231823
-187.856737,326,65.820693
-198.125102,231,66.984023
-332.329055,645,70.108119
-163.949318,380,73.608912
-190.436485,344,75.309648
-168.15016,272,76.631174
-177.133716,245,77.716757
-191.681888,677,80.808089
-197.329414,196,81.698685
-194.425151,256,83.053538
-183.745906,191,84.033829
-107.160622,312,85.658664
-89.523279,271,86.99466
-74.168013,234,88.027283
-263.16906,401,89.780111
-103.623525,380,91.52584
-75.068016,1000,96.451739
-235.90575,824,100.310127
-186.833516,664,103.313215
-125.542639,146,104.061435
78.646662,850,109.769723
-90.693138,212,110.784572
-197.62188,250,111.881391
-196.632461,129,112.463584
-69.526743,232,113.503771
-150.018315,1000,118.201322
-148.860288,140,118.929801
-164.739561,998,123.653425
-123.174732,1000,128.350396
-69.374681,1000,133.263636
-233.609378,515,135.616672
-230.570424,615,140.151205
-186.951053,659,143.392532
-176.960032,370,145.12423
-193.633419,317,146.555066
-195.105823,354,148.148885
-192.122088,279,149.423649
-143.425858,339,151.007363
-145.081415,365,152.786829
-74.749948,1000,157.749638
76.756708,790,161.371903
-173.732135,540,163.874869
-153.872757,670,167.185234
-78.549982,211,168.236397
-70.335107,688,171.505353
-183.39069,586,175.830514
-74.804405,1000,180.950179
-22.210795,383,182.815966
-153.456796,949,187.10384
200.177368,633,190.151548
-115.340427,1000,194.896411
-43.489079,1000,199.352528
-162.768849,722,202.843549
-315.046498,728,207.851265
-167.971703,221,208.827161
-34.584188,1000,213.880426
-150.296345,378,215.666573
-52.522287,1000,220.258833
-100.872967,446,222.324332
-10.519281,1000,227.265904
-34.850185,225,228.291624
-8.057302,1000,232.659486
-23.235528,1000,237.736799
-44.940466,1000,244.037934
-85.576523,1000,249.114521
-0.456147,1000,253.93372
-16.676752,1000,258.538707
-45.423943,1000,263.212678
-59.801178,1000,267.636829
-46.898395,1000,272.53114
-69.541046,1000,278.651075
-43.702234,1000,283.489564
-24.812025,1000,288.13818
-39.437223,1000,292.627667
-100.28017,1000,297.591656
-65.425057,1000,301.967989
-63.425962,1000,306.933236
-165.108786,892,312.604571
-8.385249,1000,317.380285
-63.560596,1000,322.007802
-24.711731,1000,326.389782
-110.481005,606,329.188352
-46.432059,1000,333.482586
4.434132,1000,337.815697
-30.828955,1000,344.239835
-103.837198,1000,348.612014
-33.574672,1000,353.248606
-60.619318,1000,357.442453
-85.847086,1000,361.869167
-33.872997,1000,366.107266
-87.505985,115,366.664654
-49.011106,519,369.20048
-50.255399,1000,373.790908
109.990863,778,379.035731
-132.092344,517,381.358826
127.403899,738,384.822751
-131.790728,462,386.930841
-47.52442,1000,391.120562
-101.957488,1000,395.442356
-75.011231,1000,400.073281
-15.076628,1000,404.445222
-61.315168,1000,408.945511
-22.180508,97,409.48477
-8.603855,1000,416.09167
-72.432031,1000,420.50641
-36.455985,1000,425.076133
-49.561285,1000,429.325651
-72.736413,1000,433.768664
-71.658224,1000,438.394139
-38.577854,118,438.921064
-74.193712,1000,443.538073
-24.887509,1000,450.295437
-14.197071,1000,454.761807
-29.03229,1000,459.336656
-84.142303,1000,463.791665
-59.046268,1000,468.12675
-78.243868,1000,472.941393
-86.450893,1000,477.498692
-101.295688,1000,484.130522
220.873975,449,486.231683
