#{"t_start": 1748358340.2432735, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-310.175585,131,0.151313
-151.78698,93,0.509434
-149.994106,67,0.769611
-132.288322,81,1.084501
-489.652284,87,1.419954
-719.134597,73,1.726516
-513.612854,93,2.128268
-213.386302,111,2.586098
-289.133452,322,3.811618
-130.777145,68,4.08152
-141.815496,78,4.386926
-130.814479,146,5.017878
-137.7643,95,5.416114
-125.538007,145,7.582138
-144.464504,89,7.95237
-224.226682,95,8.348641
-92.949517,138,8.95077
-165.116907,117,9.428191
-244.412844,127,9.929067
-371.712636,131,10.410773
-184.269095,131,10.940467
-229.869213,100,11.373164
-151.557758,182,12.093708
-143.651087,225,12.989331
-375.624386,711,16.073071
-224.28918,98,16.486853
-186.227493,84,16.856164
-252.885611,81,17.223722
-1.624151,131,17.71636
-75.422579,95,18.079408
-33.264126,117,18.516709
-62.352565,127,19.001277
-87.030678,123,19.529313
-177.182948,91,19.907448
-372.727095,144,20.452376
-140.366154,109,20.856307
-61.411709,107,21.266125
-18.831655,128,21.779466
-7.381888,122,22.260896
-120.061499,94,22.623023
-36.616431,116,23.065902
-103.846206,87,23.403358
-36.053429,127,23.915652
-107.762224,91,24.324314
-85.644214,122,24.846803
-129.541699,106,25.29643
3.383511,179,26.059735
-2.036049,161,26.716638
42.347916,133,27.226045
-114.996234,115,27.706464
-296.403512,541,30.01414
-122.457998,131,30.557143
-104.4542,158,31.144108
-59.44512,90,31.494116
-229.045877,156,32.088852
-273.981327,230,33.03412
-276.247517,347,34.420013
-411.230476,379,35.980179
-567.991989,290,37.261647
-160.186519,230,38.309045
-183.715489,165,39.039297
-381.958944,254,41.581758
-126.509982,143,42.129019
-104.649172,203,42.947443
-142.266386,225,43.926406
-299.490592,301,45.209381
-243.417356,225,46.133181
-266.750697,702,49.165192
-172.475678,120,49.618262
-173.860723,365,51.09758
-282.868365,554,53.182609
-332.201294,639,55.69854
-102.29171,209,56.610821
-77.446306,271,57.764973
-166.971724,426,59.537235
-106.106269,250,60.709489
-72.769079,284,61.847846
-129.279766,218,62.726874
-83.367623,231,63.654954
-340.909877,553,65.790369
-286.388928,526,67.901274
-232.346968,317,69.331757
-242.204497,267,70.442461
-161.574989,208,71.24323
-146.283177,187,72.015279
-190.448345,191,72.914839
-151.009568,152,75.126458
-154.339981,166,75.824072
-129.94196,178,76.57145
-217.984065,142,77.218055
-196.99261,140,77.851654
-243.016521,128,78.400747
-213.670614,128,78.888371
-162.913497,161,79.509105
-216.781758,125,79.999322
-218.84662,129,80.566444
-68.959977,178,81.252414
-243.288751,129,81.757269
-243.548638,157,82.397561
-193.311816,154,83.054364
-151.815241,209,83.984682
-252.885714,132,84.513439
-208.595719,156,85.116323
-433.369044,128,85.668374
-323.885768,112,86.232282
-340.514237,155,86.899365
-261.060574,83,87.259458
-257.626699,88,87.640871
-279.790053,86,88.042766
-236.215976,79,88.366576
-241.639125,147,88.916665
-196.652256,97,89.265025
-344.277209,172,89.887069
-284.034192,94,90.268142
-349.512187,171,90.946517
-304.600428,115,91.416919
-360.044895,188,92.183986
-376.204806,154,92.765847
-375.64616,137,93.235936
-235.51596,129,93.74081
-286.05785,122,94.253783
-141.4146,326,95.726169
-244.855991,138,96.31006
-249.946442,171,97.021515
-305.81686,213,97.995707
-234.867844,397,99.879193
-86.796766,177,100.636184
-292.13621,158,101.302785
-281.059302,156,101.883703
-313.1725,222,102.836427
-277.311778,171,103.569915
-324.192645,276,104.688873
-187.341725,409,106.549686
-131.231914,205,108.863856
-88.093683,196,109.719064
-162.18004,255,110.797771
-177.90734,230,111.781945
-123.944386,130,112.338752
-306.985498,324,113.748656
-127.097517,248,114.812789
-204.756608,305,116.108067
-160.667887,153,116.808575
-28.608752,88,117.181267
-190.071015,213,118.058837
-163.200353,261,119.043122
-31.43864,69,119.300296
-146.365493,122,119.770129
-155.060114,489,121.923822
-230.887137,174,122.602957
-246.411551,183,123.292022
-216.601738,191,124.118933
-239.646956,186,124.97779
-174.564427,248,126.137168
-186.280857,180,126.942412
-187.041686,226,127.930985
-155.724167,210,128.748729
-86.698455,246,129.69318
-184.570299,308,131.009082
-77.213132,114,131.477159
-71.750295,109,131.911453
-117.300053,259,132.981944
-123.448764,346,134.449104
-107.345711,166,135.091993
-116.471654,262,136.400207
-131.442572,173,137.117056
-57.116961,86,137.448348
-85.556532,233,138.341411
-116.39044,158,139.0559
-117.337885,248,140.151234
-90.356641,124,140.678233
-123.427546,170,142.902459
-153.843416,170,143.648811
-76.102835,98,144.067299
-88.745034,89,144.395836
-86.349306,132,144.907015
-72.355829,112,145.361179
-73.144381,107,145.806971
-117.827422,236,146.875117
-73.658229,115,147.392607
-201.469555,211,148.281325
-155.998326,177,149.000624
-85.075979,104,149.409328
-106.752521,165,150.010144
-89.423747,125,150.466321
-103.883383,122,150.908204
-169.21796,601,153.397613
-24.947015,1000,157.555843
-2.140788,103,157.918745
62.792404,140,158.396956
-34.023941,84,158.711502
-74.850402,77,159.00984
-152.681635,622,161.436613
-28.793779,96,161.818268
-191.29442,433,163.587871
-58.948771,80,163.922403
-22.752453,96,164.354722
-143.351641,538,166.72444
11.606024,145,167.299232
-57.89851,73,167.583506
6.062038,141,168.147669
-40.296937,147,168.810271
-90.252036,95,169.194365
-13.80069,91,169.605385
-46.151356,120,170.060033
-110.192759,218,170.958274
-99.766422,80,171.327515
-58.858809,92,171.707172
-75.331718,98,172.097274
-85.0008,178,172.855048
-103.391341,110,173.296998
-69.915947,78,173.634535
-87.872524,99,174.086667
-129.28829,208,176.416307
-121.779916,111,176.900774
-116.308291,96,177.332483
-132.267017,126,177.910612
-148.107549,194,178.754126
-120.064282,109,179.206291
-128.36651,118,179.70261
-140.831858,117,180.168655
-142.208248,121,180.646659
-125.222045,174,181.304405
-116.175347,201,182.119678
-104.4803,194,182.921273
-111.631584,120,183.369467
-112.052974,195,184.131941
-91.725263,90,184.467975
-120.009905,135,184.964799
-99.264138,146,185.611465
-143.033214,119,186.097669
-99.348466,95,186.491495
-107.972085,92,186.885501
-130.007278,120,187.367547
-101.352708,122,187.851946
-113.747302,132,188.359774
-90.546565,77,188.654919
-160.611997,101,189.017862
-144.699417,106,189.408032
-69.213406,133,189.967245
-91.926942,131,190.482291
-95.016591,102,190.892461
-39.475415,166,191.520068
-98.528527,88,191.895746
-77.864456,88,192.275994
-87.313839,121,192.806804
-49.777559,198,193.619453
-110.885183,93,194.007837
-100.430219,87,194.327276
-69.842947,80,194.663445
-62.275481,162,195.360316
-103.408134,108,195.878568
-109.769678,122,196.427079
-122.957853,113,196.916829
-47.874777,146,197.605457
-111.550524,101,198.053852
-101.751008,125,198.596282
-70.657534,123,199.106301
-79.517252,127,199.631049
-86.322892,121,200.152699
-72.486726,92,200.528542
-109.122086,229,201.540173
-88.436717,99,201.951271
-75.733254,110,202.401307
-105.2768,125,202.951705
-70.543458,98,203.364092
-84.210876,122,203.864957
-101.213161,118,204.352815
-120.096333,99,204.767926
-44.462668,145,205.388757
-60.043608,146,206.023509
-107.578652,128,206.612844
-99.429192,98,207.059826
-157.300739,238,208.110647
-85.25539,120,210.274896
-218.137601,208,211.365412
-234.17914,244,212.565476
-69.552957,127,213.170886
-74.518032,127,213.762072
-76.197561,120,214.261772
-66.861645,120,214.821356
-75.882545,122,215.326812
-130.539577,221,216.189561
-120.22874,118,216.649582
-70.256509,122,217.111241
-83.169787,114,217.592253
-149.609866,261,218.655454
-53.284785,246,219.751682
-85.238831,108,220.253359
-136.562181,223,221.253733
-243.71334,341,222.871518
-65.027419,256,223.964398
-88.818187,331,225.234097
-86.958774,85,225.574604
-81.486244,134,226.128374
-90.976964,98,226.57947
-70.119361,185,227.40068
-92.102925,228,228.40064
-94.644235,102,228.964583
-97.147873,125,229.479883
-82.066197,108,229.883214
-64.880317,161,230.572183
-100.441211,116,231.062237
-98.566946,99,231.45764
-139.707138,129,232.03642
-91.078863,93,232.485097
-98.623122,104,232.96555
-154.168979,127,233.535347
-147.877238,114,234.075202
-87.028267,98,234.481029
-191.744747,141,234.991423
-118.137528,204,235.773255
-138.581897,214,236.724072
-165.286987,143,237.381274
-112.732882,117,237.88406
-122.636127,343,239.47654
-84.628296,103,239.944216
-116.43617,137,240.596506
-100.055128,119,241.17565
-97.673954,79,241.55694
-86.243111,91,241.972834
-121.046339,142,243.962635
-165.118864,145,244.661229
-85.421276,110,245.202997
-181.286906,606,247.934197
-81.755147,155,248.500904
-232.134711,630,251.209236
-77.121854,83,251.578656
-66.701724,276,252.740234
-10.881673,120,253.216801
-75.484952,184,253.919981
11.481126,102,254.386173
34.38054,187,255.287237
-72.488781,235,256.457966
-47.469967,149,257.105356
-58.476792,365,258.680942
-127.199128,1000,263.139221
16.914611,1000,267.926326
-96.417106,392,269.664136
-119.03215,406,271.495448
-107.595907,265,272.646158
-71.728403,106,273.153941
-46.36609,175,273.964514
-108.042125,315,275.45835
-52.896083,152,277.539858
-282.308457,378,279.390143
124.718839,404,281.205165
-145.368369,261,282.368787
-39.493482,123,282.905676
-143.897242,376,284.558028
-80.312624,261,285.762486
-44.667402,149,286.476864
-76.005001,148,287.214871
-181.384366,388,288.975665
-275.733405,443,290.865889
-84.316138,319,292.247742
185.253871,479,294.332295
-305.937077,798,298.010591
-123.821602,1000,302.365788
-284.05554,837,306.069991
-115.489248,1000,311.979309
-108.417127,1000,316.288003
-86.014555,1000,320.850982
-146.695631,1000,325.233428
-97.402089,1000,329.894298
-104.357726,1000,334.382818
-84.318504,1000,338.791197
-99.204585,1000,344.737457
-159.318228,1000,349.155897
-137.38692,1000,353.823617
-149.895919,1000,358.252183
-115.665194,1000,362.705292
-147.672202,1000,366.964983
-113.99782,1000,371.220927
-90.376532,1000,375.726832
-119.724253,1000,379.988474
-88.420828,1000,385.003573
-137.538318,1000,389.148712
-129.488612,1000,395.296414
-111.732876,1000,399.612948
-154.909832,1000,403.616413
-67.256203,1000,407.832808
-107.361,1000,411.996381
-85.964404,1000,416.278969
-65.891425,1000,420.648063
-113.485504,1000,424.767561
-95.654087,323,427.511103
-83.657729,1000,431.987413
-90.727985,154,432.636586
-72.847964,1000,436.798954
-131.830981,1000,441.242673
-105.268423,1000,445.465818
