#{"t_start": 1748362017.1524816, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-329.87411,91,0.026622
-340.624804,102,0.490205
-139.62588,64,0.813887
-61.55094,68,1.14851
-1172.050411,202,2.13768
-808.74407,78,2.564487
-781.758389,74,2.930779
-629.58744,80,3.303138
-563.315518,71,3.654217
-716.45698,79,4.05965
-615.737227,82,4.487895
-638.020333,78,4.88283
-566.943288,79,5.279202
-494.531698,67,5.589576
-578.583122,69,5.936298
-564.210121,74,6.330444
-503.651476,76,6.74844
-102.101331,91,7.215468
-302.093551,95,7.630371
-190.736077,157,8.314581
-224.467825,96,8.774878
-272.748117,102,9.241521
-123.597792,125,9.78815
-540.620555,90,10.175732
-376.781031,403,11.958938
-467.478213,262,13.174206
-275.036908,117,13.721889
-219.959587,148,14.425255
-568.021714,137,15.096803
-276.158467,179,15.964041
-351.309323,203,16.951938
-514.986686,268,19.950065
-707.975295,332,21.504035
-394.604378,136,22.14665
-437.43951,185,23.020987
-282.695276,145,23.712599
-124.852846,199,24.636878
-285.001611,229,25.750482
-252.180318,222,26.801965
-160.522938,330,28.401726
-356.054432,293,29.852548
-189.601322,433,31.857009
-173.208599,328,33.282055
-194.19415,373,34.897892
-218.105749,525,37.37892
-264.070307,694,40.835227
-221.432985,179,41.706342
-272.11822,402,43.499546
-194.249483,290,44.7878
-214.68038,698,47.935571
-253.476851,150,48.739686
-218.519845,560,53.282561
-125.39675,277,54.684927
-179.153299,469,56.929482
-145.033483,160,57.720927
-150.027265,467,59.879038
-325.985686,140,60.5992
-179.457436,315,62.173977
-100.400752,155,62.937713
-232.008507,333,64.564014
-503.476591,580,67.205356
-143.812016,256,68.358677
-190.668874,693,71.598488
-126.78437,159,72.366866
-195.115999,211,73.42695
-75.893039,174,74.306169
-113.256223,161,75.154748
-100.088218,183,76.11221
-173.550716,143,76.784652
-130.437022,315,78.222875
-140.120028,437,80.219039
-119.219965,231,81.290013
-196.392769,488,83.703988
-219.059795,139,84.386987
-271.755521,272,87.402837
-135.243139,246,88.716835
-206.605417,139,89.395414
-100.880511,262,90.650587
-110.372563,299,91.990619
-190.217387,106,92.461046
-255.436103,134,93.092763
-101.44518,200,93.971769
-294.584545,156,94.729161
-103.272809,203,95.682276
-281.763016,118,96.279019
-126.214309,220,97.369353
-305.493829,130,98.019211
-126.014572,184,98.846595
-393.353047,187,99.761282
-294.805052,108,100.229703
-389.070122,158,100.915249
-177.090172,256,102.053438
-383.057768,160,102.76748
-313.874907,198,103.653084
-402.630406,657,106.648379
-84.846903,1000,111.674631
-99.043599,1000,116.271945
-97.998724,1000,123.260682
-197.147875,1000,127.721607
-122.892388,1000,132.455298
-303.528939,443,134.592198
-265.891443,467,136.620237
-71.434098,185,137.411186
-247.196562,382,139.075503
-307.055446,301,140.640565
-185.498997,459,142.971655
-189.522367,534,145.590179
-286.727999,549,148.088084
-188.486551,313,149.496542
-313.545665,622,152.690521
-100.068873,1000,159.593244
-368.924276,746,162.89502
-117.16063,1000,167.643533
-140.894767,1000,172.015488
-99.156343,1000,176.737829
-96.882005,1000,181.615196
-216.027412,312,183.08398
-256.723836,977,189.782629
-183.929502,1000,194.779954
-184.251279,238,195.875975
-101.296818,262,197.04816
-199.207036,398,199.007296
-186.229687,297,200.418318
-168.474075,298,201.843481
-101.866663,1000,206.363984
-38.337802,1000,211.240588
-225.606287,760,215.000705
-150.123477,280,216.238736
-126.990237,262,217.443378
-166.811056,512,219.86857
-124.638705,368,223.523592
-244.828284,357,225.449899
-75.728422,214,226.493988
-152.820124,361,228.169559
-110.324304,387,229.92299
-120.696037,278,231.140363
-35.138563,1000,235.884807
-74.030595,1000,240.399029
-85.815475,1000,244.908102
-114.489565,1000,249.504507
-118.075912,1000,254.089574
-87.163488,1000,261.163606
-92.261,1000,265.567482
-134.26858,1000,270.255587
-99.240239,1000,274.887727
-46.667689,203,275.863039
-124.547035,1000,280.474886
-0.41813,196,281.315529
-232.583926,908,285.655657
-265.396561,58,285.931928
-106.556546,1000,292.674756
11.922107,215,293.607911
-117.036181,1000,298.137122
-150.806424,247,299.280839
-188.503539,173,300.077062
-268.376146,390,301.834131
-40.79881,198,302.646558
-389.761695,334,304.035156
-366.039406,384,305.643497
-43.687498,263,306.80952
-52.882256,282,308.125588
-63.969495,218,309.205279
-51.699313,242,310.349064
-119.369696,274,311.649094
46.451176,971,315.996926
-63.450944,279,317.273346
-174.94009,99,317.772266
-119.763199,423,319.751602
-143.157599,100,320.25158
-209.512716,565,324.90748
-107.852682,131,325.489016
177.82806,439,327.445213
-102.672291,263,328.558202
232.781248,369,330.169694
-61.282186,1000,334.452214
-60.880284,1000,338.920147
-69.999697,1000,343.349878
-17.76192,1000,348.173151
-72.329741,1000,352.630934
172.570246,615,355.615495
-3.480468,1000,362.306329
-56.7021,1000,366.653638
-50.552617,1000,371.248501
-52.912291,1000,375.590508
-29.710449,1000,380.218369
-54.862303,1000,384.752827
-52.134599,525,387.053426
-75.38602,1000,393.821106
-61.604627,1000,398.200254
-45.686022,1000,402.492575
-64.846023,1000,407.032613
-57.615776,1000,411.314469
-134.708103,1000,416.008001
-62.70303,1000,420.513226
-180.147034,626,423.532131
-148.325594,1000,430.315979
-84.762706,1000,434.67236
-113.200959,1000,439.198569
-53.894278,1000,443.442922
-110.855573,1000,448.016312
-143.156617,1000,452.731311
-61.740764,1000,457.186303
-48.151233,1000,463.843481
-59.92681,1000,468.25309
-173.990886,901,472.577158
-103.486928,1000,477.283216
-80.295122,1000,482.009212
