#{"t_start": 1748359640.1437044, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-112.762582,98,0.031523
-700.15068,162,0.691999
-975.219158,90,1.036271
-510.361193,79,1.329866
-582.628881,70,1.626243
-545.877148,59,1.877929
-813.976078,79,2.189358
-957.849001,97,2.607136
-1119.556882,100,3.037924
-1042.568884,92,3.424142
-1107.876671,107,3.826301
-180.496499,68,5.868637
-120.646838,54,6.070385
-438.630769,100,6.431421
-110.34628,86,6.750613
-127.651499,62,6.98175
-224.487853,89,7.34859
26.107952,59,7.613045
-23.34217,77,7.991223
-170.551254,105,8.415027
-71.299571,194,9.082629
-576.699105,204,9.840424
-17.624693,120,10.333676
-76.305428,334,11.660167
-29.862264,153,12.33275
-58.149337,175,12.967958
-152.12399,294,14.117071
-207.599313,180,14.846478
-489.054085,185,15.623893
237.96654,222,16.526169
-61.674234,93,16.887625
-424.918257,259,17.875433
-198.190317,290,18.971451
-109.500968,116,19.414212
-152.633929,93,19.793362
-268.892311,97,20.181414
-182.76195,146,20.844012
-264.991978,97,21.235379
-74.274785,122,21.777426
-276.492607,149,22.381079
-127.234853,84,22.713625
-230.761955,111,23.217044
-216.022541,88,23.551917
-266.057914,226,24.440741
-149.735919,123,24.908995
-132.469532,156,25.574478
-239.038486,252,26.66378
-289.893054,129,27.14061
-355.864595,141,27.633195
-277.320867,136,28.186455
-397.516141,137,28.710708
-185.450778,72,28.964946
-219.969262,103,29.341897
-388.400216,88,29.643845
-209.037274,100,30.014438
-186.864299,104,30.406845
-332.852005,77,30.684792
-237.458263,90,30.996536
-193.843857,174,31.65459
-195.078002,69,31.936066
-438.203237,85,32.284794
-206.065554,113,32.749162
-304.028928,88,33.086765
-192.22509,191,33.820824
-291.556016,89,34.174646
-290.212621,88,34.534924
-356.674241,102,34.941591
-362.1613,169,35.623359
-397.502524,162,36.268962
-193.545233,183,36.979017
-185.394815,69,37.248639
-546.441937,107,37.634865
-301.19307,276,40.281142
-236.220676,173,40.923922
-367.679361,123,41.370577
-450.630126,158,41.967922
-83.13991,264,42.947534
-119.845481,284,44.138774
-192.221537,72,44.429859
-164.1785,107,44.902499
-225.602774,146,45.513412
-30.993922,226,46.361393
-85.028818,221,47.19455
-40.062154,146,47.774912
-189.233905,298,48.911225
-17.473073,210,49.717633
-88.832878,234,50.579067
-36.226047,290,51.777061
-85.909128,323,53.02917
-96.508275,178,53.772718
-127.728684,144,54.328009
-97.541664,82,54.664511
-99.404345,164,55.313824
-185.245263,271,56.444959
-128.982939,204,57.279262
-119.506302,205,58.138147
-116.498836,195,58.983495
-83.899055,173,59.663815
-128.236644,166,60.340185
-146.019388,297,61.645846
-81.640499,168,62.337199
-102.380787,226,63.293033
-80.517544,202,64.137315
-139.19489,188,64.952116
-99.583731,194,65.800209
-47.933817,204,66.740855
-145.282358,236,67.668521
-124.360442,225,68.519591
-166.367687,264,69.65321
-127.021766,192,70.40707
-54.36074,58,70.630988
-112.213205,161,71.238271
-60.667332,67,71.490138
-111.574978,211,74.02748
-177.147024,268,75.062543
-195.422102,240,75.97033
-140.631861,454,77.778362
-113.813551,197,78.537192
-160.385517,507,80.459424
-69.832583,369,81.831849
-87.283885,361,83.100676
-80.878097,138,83.578421
-128.844972,322,84.679704
-30.678884,206,85.390197
-139.77154,365,86.657925
-121.498647,309,87.888005
-74.499702,122,88.377176
-58.230071,137,88.938953
-33.220636,238,89.895664
-109.956211,359,91.308852
-137.858644,380,92.706624
-59.974961,106,93.086289
-51.443461,216,93.943068
-103.445031,320,95.168089
-94.18912,178,95.809689
-115.365558,144,96.343534
-61.748566,248,97.254744
-153.951204,381,98.826221
-109.669752,135,99.339989
-121.536304,223,100.188581
-94.971805,256,101.219094
-38.493178,162,101.860718
-69.908143,256,102.814255
-92.851175,127,103.286144
-91.811542,263,104.219501
-48.128459,243,105.224867
-102.303634,129,105.740582
-107.39838,282,108.540496
-111.085233,112,108.996884
-104.356606,89,109.374377
-83.463718,124,109.848504
-92.861004,138,110.420467
-136.229358,179,111.118786
-49.918628,302,112.451967
-51.859946,139,113.061658
-51.60193,230,113.992112
-113.185491,320,115.175935
-80.714448,94,115.510356
-69.777386,276,116.55571
-82.027231,315,117.702733
-22.197541,342,119.00291
-78.366805,233,119.893153
-91.460405,144,120.447406
-98.823996,252,121.59182
-65.973877,330,122.900288
-117.247299,234,123.811641
-200.479504,273,124.901118
-114.057786,147,125.433539
-77.640192,386,126.88103
-90.201829,288,128.008226
-93.945496,315,129.18362
-137.757593,395,130.659607
-51.335293,339,131.934813
-103.871824,238,132.939037
-159.438032,243,133.980375
-78.458964,258,135.034488
-203.639796,472,137.015277
-237.904267,609,139.614918
-126.378228,318,142.637774
-120.654923,305,143.933791
-159.103645,359,145.291963
-122.947818,302,146.492018
-134.547865,355,147.813201
-102.609489,195,148.522116
-173.477565,350,149.75937
-118.763378,299,150.838237
-35.460362,423,152.489023
-61.950505,277,153.608326
-98.14981,208,154.581054
-44.790627,249,155.710685
-74.306625,283,156.919997
-119.680025,367,158.408167
-149.498121,392,159.991908
-42.227905,218,160.971129
-179.856618,479,163.060014
-162.608344,924,166.933452
-106.955123,1000,170.959785
-121.334189,165,171.778193
-80.336604,1000,177.731369
-197.256534,187,178.46358
-221.832831,229,179.429744
121.714312,707,182.077132
-26.772308,373,183.416092
71.873005,807,186.501622
91.452117,581,188.924474
-97.827892,448,190.681593
211.383563,253,191.633652
-160.092697,136,192.112035
-134.53292,277,193.120423
-112.701141,187,193.815537
-156.675902,144,194.342606
-123.38025,725,197.177679
-186.813807,109,197.613612
-23.148502,143,198.195257
-86.705693,264,199.134162
-41.401833,124,199.587918
-187.22968,130,200.078583
-235.858977,103,200.680628
-195.44676,105,201.150327
-202.450704,112,201.689741
-231.805231,238,202.583251
-48.777697,1000,206.644584
-219.123713,101,207.044088
-112.55885,626,211.166802
-237.771805,104,211.555715
-210.329659,140,212.093296
-249.417553,102,212.444377
-228.688391,121,212.956166
120.637565,581,215.233359
-218.356126,104,215.642589
-148.694972,349,217.043091
-158.537848,277,218.102232
-191.389547,143,218.646645
-70.641812,141,219.362612
-88.004309,168,219.980809
-107.061609,145,220.522457
-122.164367,227,221.469497
-201.831405,130,221.943558
-107.359563,130,222.410961
-187.187874,104,222.775073
-202.823323,124,223.23681
-178.635006,114,223.655496
-125.370826,207,224.438671
-211.553671,330,225.659056
-167.199082,302,227.084432
-135.084973,160,227.737582
-107.532778,259,228.705909
-103.47286,144,229.311444
-140.249417,151,229.971378
-97.753913,277,231.137235
-160.436764,404,232.709093
-111.023393,343,234.130177
-168.111317,219,235.028265
-91.290524,409,236.87883
-100.51348,114,237.429162
-143.22446,159,238.220187
-164.782542,161,238.872942
-149.404369,180,239.757024
-109.000095,200,240.567948
-117.081813,145,241.183068
-136.535658,134,243.430938
-122.763544,219,244.488284
-122.407651,241,245.481984
-141.578899,138,246.046093
-126.962311,129,246.589524
-145.648835,150,247.146765
-151.166691,126,247.630923
-104.61945,123,248.16773
-111.469272,165,248.826765
-122.74943,264,249.816202
-157.58264,158,250.51073
-94.31153,226,251.464818
