#{"t_start": 1748357889.4674165, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-49.854051,110,1.835453
-339.750119,105,2.431225
-542.76646,127,2.928799
-798.440313,96,3.283787
-779.061633,61,3.514017
-463.454163,105,3.925529
-788.262635,98,4.313899
-518.628742,77,4.632159
-173.124482,251,5.580233
-248.902673,124,6.0364
-271.799326,129,6.500603
-293.899624,119,6.956819
-405.184283,110,7.381006
-307.864318,97,7.775552
-487.708565,92,8.199216
-538.827121,90,8.660091
-470.2715,80,9.060318
-457.984947,88,9.429458
-541.767993,112,9.889071
-391.45336,111,10.392546
-368.989286,186,11.333414
-358.1694,108,11.759442
-131.754439,155,12.40068
-168.018162,89,12.733052
-186.89914,83,13.057352
-152.095462,113,13.479036
-142.69639,103,14.021614
-850.74612,337,15.688159
-757.866937,148,16.401714
-153.206831,96,18.402342
-166.32026,135,19.018217
-42.159211,232,20.130296
-68.818342,1000,24.905244
-111.070603,630,27.717146
-45.859855,315,28.876102
-36.111032,478,30.68968
81.441185,790,33.944882
-20.733021,163,34.61209
-66.587445,256,35.659651
-39.480313,321,36.993198
-2.862289,508,39.105326
-55.386271,379,40.71469
38.343528,213,41.574078
0.521727,495,43.661159
-76.568527,642,46.374863
-65.637289,703,49.490812
-47.906415,262,52.276744
-107.743058,215,53.235514
-72.898478,229,54.253377
40.226294,196,55.162652
-111.220137,266,56.359967
-130.021102,192,57.247195
45.52989,218,58.199399
-125.920167,185,59.006377
-196.965023,240,60.004118
-127.78847,279,61.20335
191.65969,590,63.682898
-93.783128,445,65.564016
-94.913289,827,68.797707
-60.845974,719,71.877935
-14.067351,460,73.966357
-184.624517,459,76.025821
-172.065142,624,78.671957
-164.580847,658,81.470948
-143.368452,638,86.014853
-165.300707,280,87.35883
-146.056629,1000,91.846349
-93.12705,1000,96.30735
-120.57018,1000,100.768368
-122.552751,1000,105.067064
-206.617095,703,108.217924
-137.014739,586,110.878447
-346.796379,748,114.191574
-267.834593,730,117.599914
-309.382562,598,121.919981
-211.229701,246,123.084766
-238.302129,571,125.682656
-93.066155,366,127.395172
-195.232302,668,130.055228
-256.799382,945,133.677508
-204.769003,650,136.179074
-166.95101,826,139.564319
-173.414867,823,142.914299
151.472908,706,146.158886
-79.236241,500,148.241682
137.566225,610,150.788337
-366.498078,569,154.899399
160.86569,372,156.474904
177.036427,657,159.377879
-74.821317,417,161.392531
10.298995,383,163.081719
-81.802893,355,164.594478
-44.14191,446,166.544313
211.244003,492,168.637637
-56.360589,240,169.569135
-35.257493,212,170.478429
199.461901,907,174.456287
-127.850166,366,176.00119
-107.55562,323,177.298246
-87.432455,258,178.410566
-114.363166,186,179.248873
-121.147424,281,180.445679
-138.109775,256,181.554838
-133.256165,212,182.466753
-110.054645,204,183.400122
-127.838848,203,184.273201
-76.021876,152,184.915076
-167.59246,200,185.760336
-127.949044,182,188.272269
-135.440864,212,189.159278
-115.851071,298,190.454978
-95.899143,369,192.151797
-139.650862,183,193.04671
-155.4286,264,194.281924
-155.429775,188,195.142504
-148.669415,194,196.052084
-158.274763,275,197.182551
-155.243218,241,198.152796
-139.940322,194,198.950723
-181.612918,237,199.923176
-151.06945,237,200.879846
-88.656662,196,201.758528
-112.770146,199,202.609648
-161.626032,240,203.664281
-154.375166,204,204.521255
-150.920356,243,205.538239
-148.299442,299,206.801686
-159.832181,225,207.659048
-138.406905,311,208.898472
-116.462091,312,210.18936
-142.787749,479,212.238421
-84.915732,424,214.123016
-166.226893,458,216.142707
-27.928763,330,217.532248
-125.329463,532,219.857788
-139.679616,376,223.050573
-103.957909,522,225.305269
-70.607945,490,227.538135
-70.175763,541,229.940317
-46.290231,527,232.194392
-87.993068,451,233.983148
-106.631582,421,235.853779
216.22606,503,238.162021
-43.632248,430,239.728851
-13.638846,419,241.363323
-50.020508,468,243.171211
-20.112758,524,245.313838
-15.836441,581,247.843634
-116.581409,798,251.49858
-117.339274,1000,258.106021
-153.480388,1000,262.9312
-102.700906,1000,267.247536
-122.805542,651,269.997005
-148.547956,558,272.321316
-99.046683,544,274.695403
-92.553864,333,276.097194
-135.693837,724,279.338892
-223.745378,317,280.762875
-199.016984,993,284.87924
-61.275765,239,285.886938
-69.80217,363,287.601773
-118.863845,250,290.22715
13.299819,249,291.372068
-36.323773,382,293.076265
6.07222,428,295.174702
25.799119,303,296.624706
-80.383883,215,297.44687
4.060975,139,297.991189
7.375599,213,298.917507
-102.336176,240,300.046923
23.49895,311,301.412578
-11.200132,418,303.42789
57.538519,291,304.596261
34.893357,322,305.862263
-6.787546,343,307.319609
206.873335,458,309.380382
-24.700847,424,311.323308
252.64702,372,312.815336
191.14696,489,315.014444
-11.307493,572,317.458402
-9.240192,408,319.182927
-86.584723,446,321.20457
267.515466,472,324.951485
-88.757599,393,326.641015
-15.957073,394,328.362456
-177.372114,357,329.813734
156.756188,921,333.769573
136.863992,504,335.859534
-80.014931,427,337.533392
79.142254,1000,341.588308
200.411751,668,344.421766
-89.651028,172,345.183978
165.632374,649,347.891213
147.220988,834,351.27599
-39.1897,359,352.824934
-59.621893,521,355.027001
-33.526824,199,357.531157
-40.882879,526,359.776106
15.78635,331,361.225961
-8.694817,318,362.470142
-132.074153,247,363.551273
-10.300023,316,364.787013
-13.264141,310,366.096243
-113.710206,236,367.104252
11.261789,342,368.606945
-85.970877,446,370.578131
-23.048599,400,372.234346
-129.719028,323,373.56338
-53.535249,487,375.61443
3.867325,337,376.998566
-84.113854,258,378.094246
235.564589,387,379.84992
251.235559,523,381.941053
-98.463515,256,383.038171
-87.928911,481,384.959751
-63.065523,1000,390.734812
-136.723936,369,392.271651
-89.430064,510,394.363583
-106.815746,304,395.542822
-110.490662,622,397.968799
-116.239807,327,399.302231
-111.305763,317,400.52328
-85.573803,1000,404.513891
-176.116361,347,405.940295
-160.313352,415,407.601244
-125.335425,505,409.7117
-55.418907,1000,413.812855
-47.827309,344,415.184884
6.783137,223,416.060001
-24.284725,199,416.864983
-143.799772,848,420.49235
-119.886369,418,422.380563
7.209464,241,425.062427
-74.898939,798,428.473865
-157.791165,409,430.163348
