#{"t_start": 1748357353.9075356, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-309.625516,124,0.163997
-356.476022,93,0.615577
-548.122274,66,0.949128
-148.449415,55,1.214229
-564.201239,72,1.59074
-409.623178,63,1.9124
-99.789214,61,2.219589
-215.635715,58,2.506323
-301.05995,76,2.870547
-525.584987,86,3.253196
-137.262866,81,3.627079
-165.845438,87,4.041984
-144.240359,83,4.410733
-191.218805,80,4.79674
-263.5177,73,5.133437
-278.933205,70,5.437866
-355.711113,87,5.84217
-194.704509,59,6.107641
-342.718422,62,6.384617
-230.22591,67,6.6889
-140.42245,74,7.051546
-125.330226,57,7.316746
-268.173149,56,7.576856
-162.302707,56,7.866707
-285.773665,58,8.150898
-236.489448,60,8.475284
-139.249966,61,8.775107
-180.754624,72,9.15846
-119.504372,76,9.560912
-163.030233,64,9.897302
-195.087191,83,10.323257
-397.052238,84,10.758982
-139.571382,53,11.028955
-133.777147,62,11.360225
-448.977758,136,12.047407
-348.357842,678,16.831127
-340.382209,973,21.255023
-133.219764,376,23.026139
-152.559317,282,24.449838
-425.287803,454,26.722895
-307.221776,169,27.571863
-188.229876,118,28.162797
-197.889413,309,29.632099
-121.430659,197,30.538262
-188.290704,205,31.47279
-114.439702,129,32.046671
-115.040925,151,32.717926
-167.671094,190,33.612471
-201.737319,179,34.462981
-211.34387,141,35.106019
-215.777744,216,36.186889
-270.686723,213,37.269674
-257.597367,243,38.489832
-82.977258,307,39.94863
-83.777835,344,41.516488
-104.809102,1000,46.176602
-260.353617,979,52.267923
-261.706193,547,55.024018
-309.415097,889,59.342681
-71.143679,204,60.231507
-350.564633,231,61.34683
-153.039797,191,62.316537
-135.327977,131,62.958832
-271.778493,174,63.85761
-220.747687,262,65.215107
-264.933226,146,65.97308
-25.389998,206,66.921391
-342.407038,175,67.717605
-101.81221,181,68.534872
-252.529328,165,69.283599
-247.957055,417,71.26094
-281.174796,415,73.41565
-94.264591,215,74.498834
-7.079546,211,75.571414
-18.214196,200,76.54635
-259.581163,394,78.318796
-242.832224,327,79.781674
-10.009948,126,80.345165
-169.026691,368,83.233706
-199.176979,343,84.85748
-218.224753,278,86.059908
-201.311167,261,87.294266
-199.771978,279,88.656356
-331.871011,336,90.308805
-35.650327,69,90.593765
-279.201915,674,93.658451
-11.212126,90,94.073289
-93.884853,105,94.537994
-125.918977,642,97.627165
-136.380089,638,100.722128
-289.451105,571,103.184948
-76.163453,64,103.44977
-62.281314,70,103.76043
-62.932093,412,105.648205
-9.488027,200,106.57414
-106.20982,98,107.037548
-48.300427,77,107.414176
-89.402529,68,107.730016
-100.49628,638,110.793716
-109.68996,166,111.609363
-46.928909,121,112.134965
-115.181912,370,113.728725
-188.946941,244,114.824472
-154.875752,319,117.537759
-1.042132,1000,122.312069
-72.547641,267,123.652669
-67.908207,167,124.406417
-59.437292,146,125.068116
-113.949895,156,125.762587
-26.013561,83,126.124513
-119.894866,191,126.991393
-84.266196,133,127.600866
-92.152458,113,128.097954
-60.206082,137,128.70206
-88.491851,94,129.123988
-88.338128,76,129.518612
-144.203403,166,130.331617
-91.831806,151,131.050375
-37.247405,247,132.173147
-54.311831,192,133.08079
-132.105293,120,133.665772
-64.011095,336,135.1595
-80.959144,96,135.576293
-139.055325,351,137.064236
-50.27907,145,137.695464
-288.132955,109,138.167669
-31.719328,163,138.888421
-39.947656,250,139.979586
-43.406989,269,141.320136
-185.091851,67,141.625098
-29.117761,243,142.791636
-114.050467,153,143.498719
-76.724812,167,144.292343
-84.179111,235,145.422329
-80.837686,307,146.785564
-74.819482,87,147.190567
-142.912411,422,150.325288
-79.614472,160,151.032201
-81.471588,159,151.757913
-69.330439,258,152.98873
-55.513708,187,153.902428
-72.42318,236,155.01327
-152.342879,483,157.289692
-33.053572,152,157.976998
-205.374628,270,159.166919
-31.86325,250,160.308639
-46.67235,226,161.29774
-3.559328,94,161.706594
-21.122549,100,162.152094
-143.731074,277,163.404187
-41.758385,1000,168.283637
-334.047871,290,169.690309
-226.507145,367,171.315257
-260.610841,376,172.970494
-230.443456,679,176.08386
-263.217399,531,178.650582
-15.62981,243,179.846249
-288.95773,621,183.832878
-289.996009,688,186.902887
-221.685723,582,189.625284
-60.145499,338,191.319654
-4.823981,1000,196.054471
-240.548157,1000,200.716991
-49.470704,257,201.968216
-305.818017,353,203.701559
-300.701807,276,205.009428
-310.074128,402,206.831274
-296.811606,531,209.239779
-59.597093,256,210.39228
-164.547828,819,214.106834
-364.182813,768,219.061061
-22.338846,117,219.662104
-12.809227,375,221.297698
-44.940719,189,222.075168
-345.528953,668,224.822646
30.785998,1000,229.662291
-33.676039,137,230.321348
16.288296,110,230.912116
-109.792784,75,231.232414
-85.780429,211,232.172621
-120.906776,74,232.485451
-20.67136,138,233.092633
-225.75618,1000,237.577371
-33.466865,101,238.019344
-284.418472,1000,242.675609
