#{"t_start": 1748354953.2439125, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-309.898245,132,0.147962
-89.956215,86,0.452363
-342.352594,84,0.74188
-291.281028,59,0.956928
-427.909611,67,1.209529
-207.138002,67,1.451467
-120.405897,72,1.712443
-107.572331,61,1.933349
-44.663514,92,2.280524
-146.225805,79,2.550471
-74.564746,56,2.749532
-147.860131,59,2.962445
-161.329035,64,3.227714
-168.603014,56,3.446329
-130.336907,60,3.676369
-135.177254,59,3.91594
-106.478354,56,4.129431
-118.149411,67,4.372434
-64.71401,89,4.711391
-121.705948,74,4.984684
-128.253475,84,5.297876
-143.419877,67,5.526804
-47.867638,157,6.088213
-173.68052,115,6.52142
-107.091157,133,7.016037
-345.868473,216,7.80842
-130.842209,129,8.257266
-133.13186,89,8.579368
-166.429483,95,8.921644
-139.833755,149,9.515347
-253.858232,121,9.969463
-173.365325,164,10.627541
-182.816553,101,11.043744
-143.457086,326,12.370997
-170.128625,166,13.019391
-208.09595,119,13.485066
-227.893077,206,14.268446
-179.145449,169,14.883622
-125.512647,66,15.114171
-174.774613,274,16.084781
-130.05082,86,16.386503
-180.035647,233,17.21054
-211.178866,371,18.529588
-138.898376,86,18.839164
-118.720857,109,19.193858
-142.160033,257,20.110458
-117.335584,65,20.330567
-62.012164,150,20.849595
-134.430896,129,21.292674
-179.144959,217,22.057181
-156.358014,198,22.773943
-201.502664,180,23.440593
-144.814233,187,25.619507
-84.269626,219,26.482119
-90.418739,129,26.983789
-119.105768,225,27.778529
-252.307103,181,28.413398
-102.329877,134,28.878429
-233.612739,84,29.180021
-102.073695,173,29.800726
-142.925443,239,30.676753
-317.461989,159,31.254318
-288.207368,199,32.060846
-39.925585,73,32.319943
-40.106573,133,32.84214
-53.685319,94,33.209729
-121.976811,266,34.220615
-161.501416,136,34.711982
-187.779693,296,35.768421
-346.98302,365,37.050672
-190.475281,357,38.297603
-95.886466,527,40.234607
-415.358394,241,41.139743
-532.259345,219,41.928509
-506.974287,181,42.553026
-409.562756,147,43.102141
-349.877804,219,43.896944
-515.267586,188,44.574355
-539.338743,185,45.219064
-449.702565,184,45.882881
-282.924335,218,46.606111
-250.05576,398,48.06032
-266.032576,222,48.842321
-384.580392,302,49.93794
-377.21711,221,50.803489
-142.413338,253,51.724236
-290.372804,188,52.396646
45.580368,208,53.138289
-70.563508,246,54.079695
-12.3232,304,55.221216
-84.281485,498,57.141094
-136.602893,869,61.703739
-322.364798,895,65.09708
-187.16159,526,67.143812
-82.535454,360,68.414532
-189.528569,304,69.486598
-259.656486,321,70.606328
-238.970913,208,71.354547
-56.343678,193,72.033935
209.330603,574,74.140349
-94.915401,220,74.985452
-280.76765,380,76.406396
-95.826872,268,77.418917
39.133598,317,78.627724
-87.178156,483,80.3568
-115.5673,475,81.991164
-97.036772,1000,85.611633
-148.450181,758,88.592948
197.957571,663,92.415228
-157.690083,769,95.135443
-98.378492,1000,98.957584
-108.922413,563,101.048229
-106.761161,596,103.196806
-151.478621,515,105.02961
-58.559545,242,105.978235
-76.000316,274,107.106588
-56.585397,184,107.863036
-26.149301,168,108.612618
-36.253531,344,110.035218
-124.73698,395,111.642268
-78.570462,245,112.557453
-91.903374,448,114.240903
-57.079572,219,114.999916
67.765148,1000,118.718184
-276.446636,598,121.116762
-352.286594,881,124.402386
-205.30583,1000,129.334754
-151.236437,1000,133.321601
-126.271644,1000,137.089759
-106.535982,1000,140.762565
-168.533247,1000,144.560182
-131.663367,319,145.715838
-141.927934,238,146.58487
-153.24146,230,147.421879
-130.25687,199,148.123316
-168.00575,208,148.852992
-223.42924,420,150.43234
-190.245135,216,151.262752
-206.680049,414,152.873597
-172.924111,182,153.60742
-204.580505,207,154.42366
-151.192531,189,155.219628
-191.059561,212,156.064606
-291.211672,725,160.323652
-159.376906,1000,164.271848
-139.846714,1000,167.967149
-175.041946,1000,172.033236
-185.312887,1000,175.550296
-172.507469,1000,179.390317
-172.424429,1000,183.274854
-153.900205,1000,186.928127
-146.42833,1000,190.915118
