#{"t_start": 1748354137.7820303, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-103.41212,94,0.021982
-307.629231,156,0.578819
-704.600974,145,1.086722
-670.88498,93,1.419626
-156.925231,67,1.670879
-148.858395,85,2.013823
-440.770556,67,2.263267
-374.398798,57,2.455496
-319.563388,53,2.65025
-218.873247,53,2.827181
-325.837423,86,3.140566
-154.035336,74,3.413808
-138.773369,66,3.657399
-650.230129,67,3.908106
-157.404556,61,4.139507
-112.554969,79,4.430463
-336.307576,91,4.780785
-112.909881,89,5.117515
-49.260224,87,5.425553
-96.604591,76,5.696608
-61.334219,133,6.168049
-376.401677,417,7.679214
-136.49633,1000,11.68364
-273.634297,883,14.91355
-276.582076,849,17.950704
-138.560063,261,20.330554
-71.562687,1000,24.088161
-97.443232,197,24.847037
-172.384608,302,25.936203
-51.762482,236,26.798103
-232.934618,264,27.737102
-110.186263,1000,31.195815
-210.103581,176,31.826152
-343.17954,265,32.750552
-293.175976,252,33.694469
-230.852667,361,35.047072
-248.926497,185,35.757234
-73.105068,270,36.747353
-143.855503,425,38.259382
-148.103992,454,39.923709
-110.714142,329,41.128166
-28.418643,308,42.357904
-133.446134,463,44.253599
-58.243864,1000,48.048898
-9.645027,1000,51.687959
-61.615362,1000,57.203158
-100.102345,1000,61.090879
-65.840303,1000,64.807877
-28.685314,1000,68.630172
-133.633606,926,71.730594
-40.219224,1000,75.353163
-22.053277,1000,79.337809
-6.098111,1000,83.052062
-59.473602,1000,88.249526
-58.395004,1000,92.143055
-88.686688,1000,95.655609
-176.953714,585,97.707351
-65.937455,1000,101.335075
-1.562255,1000,105.101796
-18.436136,1000,108.898525
-63.800111,1000,112.900159
-73.901155,1000,116.550216
-94.925899,1000,121.873194
-38.534284,1000,125.906241
-74.385391,1000,129.577199
-69.498742,1000,133.424002
-84.032884,1000,137.393388
-76.286588,1000,141.038197
-276.89335,544,143.098548
-99.764156,1000,147.067212
-104.366984,1000,150.698837
-55.303559,1000,155.598198
-78.619336,1000,159.523858
-62.237436,1000,163.182173
-44.404427,1000,166.99795
-89.803733,1000,170.793843
-90.060258,1000,174.358263
-101.228114,1000,178.234716
-122.402687,1000,182.061453
-71.122526,1000,185.725549
-44.28375,1000,191.195384
-67.849942,1000,194.921975
