#{"t_start": 1748354746.7243047, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-197.595681,112,0.079473
-75.904375,54,0.291061
-162.195564,69,0.608451
-1486.019916,175,1.383902
-755.95127,90,1.705319
-84.165353,71,1.959789
-79.239455,89,2.280921
-225.688628,90,2.601046
-342.366985,79,2.982695
-23.60113,92,3.337022
-568.258149,77,3.628536
-740.75374,89,3.995278
-664.001031,75,4.282509
-605.233161,86,4.596478
-187.9087,112,5.162102
-350.478656,142,5.713496
-322.103892,225,6.633109
-323.699063,91,7.017829
-311.060595,91,7.413314
-343.294976,99,7.780768
-616.774666,80,8.077649
-532.829158,133,8.588186
-278.465562,96,8.975823
-617.861017,133,9.445265
-550.22201,188,10.160328
-462.786344,190,10.849465
-404.310444,434,12.529347
-293.319748,173,13.134958
-151.081475,211,13.951605
-262.798516,137,14.47638
-227.610557,192,15.195094
-200.163415,146,15.748973
-78.115867,345,17.261345
-285.669545,306,18.454159
-210.6972,321,19.620031
-251.156927,444,21.23421
-272.432587,516,23.284675
-141.863551,257,24.320815
-107.461782,363,25.861663
-178.405221,353,27.329005
-332.098903,583,30.750482
-238.625496,305,32.195002
-225.088754,636,34.514438
-224.636905,356,35.856526
-294.7717,207,36.624567
-312.392723,185,37.304151
-199.911155,278,38.389386
-226.645783,171,39.059977
-115.043589,209,39.935071
-99.972404,249,41.042835
-195.677616,279,42.116149
-326.887981,599,44.887938
-223.536231,247,46.385629
-174.336836,287,47.80604
-216.516831,150,48.665874
-129.153513,202,49.604387
-128.928374,220,50.589581
-150.12142,151,51.219049
-120.014834,182,51.960522
-268.533212,450,53.801547
-107.86574,195,54.762655
-88.334479,174,55.542897
-179.176471,119,56.056179
-92.483211,78,56.372851
-94.1238,134,56.931395
-188.105263,249,58.054046
-63.929435,153,58.768889
-189.83608,247,59.743279
-295.661625,116,60.199816
-149.921624,204,61.103414
-170.2113,392,64.005336
-89.670729,131,64.526601
-33.645684,85,64.877231
-147.108064,178,65.57173
-159.130185,209,66.48754
-105.836498,230,67.448129
-22.692577,85,67.844347
-159.385758,227,68.853272
-251.718216,249,69.882058
-159.86586,263,70.967777
-166.031608,153,71.605687
-75.221581,171,72.355628
-288.755706,336,73.726265
-57.876542,100,74.133857
-242.815346,241,75.090562
-44.838329,141,75.602665
-125.297896,243,76.556226
-186.355061,189,77.391563
-361.54534,128,77.936558
-100.331077,235,78.963458
-198.771003,357,80.382259
-75.508911,135,80.887444
-68.583416,126,81.343497
-71.243664,76,81.673491
-90.660254,149,82.237054
-110.162197,189,83.005989
-76.749371,136,83.533108
-129.674658,251,84.600585
-277.194786,462,86.285533
-63.664663,1000,90.452771
-176.187586,293,91.786208
-65.873018,163,92.529387
-70.202311,119,93.097602
-134.614797,235,93.921472
-96.371483,189,94.631897
-117.757671,205,95.465074
-67.187493,172,97.40922
-144.524799,165,98.001291
-100.152365,234,98.881324
-95.534084,132,99.442512
-127.140571,130,100.043447
-109.409093,127,100.548973
9.184347,1000,104.660499
-220.922954,990,108.433042
-124.682019,354,109.751137
-115.008711,368,111.197609
-81.882829,202,112.067486
-49.587551,265,113.184285
-78.999792,171,113.853244
-303.380327,290,115.177186
-154.572283,305,116.377322
-315.328549,331,117.581458
-98.813595,227,118.403572
-256.261412,364,119.874245
-51.82295,232,120.89504
-78.812834,187,121.667014
-76.61539,129,122.157679
-131.181996,322,123.538512
-121.414761,389,125.115435
-96.524378,122,125.619959
-133.574047,227,126.603043
-137.333236,1000,131.957967
-108.011359,129,132.426198
-140.483831,326,133.769668
-133.157958,119,134.284231
-124.118118,139,134.84387
-86.92409,121,135.333678
-116.225916,297,136.460792
-122.524939,106,136.879843
-125.50907,128,137.446309
-126.777779,132,137.974654
-121.684993,156,138.55663
-104.075249,109,138.97325
-110.004626,286,140.072685
-134.632024,101,140.438388
-152.896034,203,141.17081
-136.190262,248,142.143261
-134.676964,129,142.62018
-265.537002,382,144.08639
-145.931153,120,144.521898
-113.836257,188,145.23546
-248.186024,876,148.451881
-43.737206,1000,151.993753
-128.845066,128,152.444271
-111.488088,135,152.930669
-224.031154,810,156.095275
-43.470583,1000,160.200945
-109.265648,122,160.679097
-92.540058,170,161.322778
-111.328867,121,161.765252
-52.167805,1000,166.54205
-104.869676,143,167.040019
-57.34168,1000,170.9238
-259.798932,974,175.068047
-200.947536,434,176.838686
-216.659465,591,179.212457
-29.503957,1000,183.189499
-40.862826,1000,187.04332
-195.139847,421,188.53636
22.790938,1000,192.150051
-93.868078,1000,195.873429
-2.59361,1000,200.792312
-18.201227,1000,204.653278
