#{"t_start": 1748361521.1483924, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-432.13678,112,0.095519
-255.057463,113,0.671034
-544.586307,65,0.940863
-33.027335,62,1.210207
-167.066123,72,1.520851
-148.895265,56,1.799381
-163.473601,77,2.153848
-795.611747,205,3.100523
-357.575856,122,5.374701
-344.503005,147,6.070046
-271.339881,125,6.646775
-564.766747,107,7.169586
-126.683639,122,7.796162
-241.320948,393,9.820061
-262.567527,93,10.301472
-409.836892,192,11.279766
-459.684641,150,12.032732
-240.841691,175,12.915383
-381.209845,87,13.362357
-414.967015,91,13.791738
-607.658782,231,14.855349
-162.63298,170,15.631255
-315.62969,80,15.986847
-212.907375,92,16.386181
-294.414667,107,16.879856
-225.819583,87,17.275129
-177.777482,121,17.796454
-230.160444,98,18.231433
-306.664929,226,19.391591
-193.060664,182,20.338273
-141.453904,166,21.180514
-349.074001,99,21.700513
-239.210658,152,22.438554
-227.4941,151,23.139944
-244.052756,135,23.787235
-209.134161,136,24.443396
-100.444372,89,24.820022
-227.189242,111,25.294621
-16.364967,89,25.665604
-21.062483,103,26.125263
-99.037117,163,26.815145
-203.472073,195,27.66869
-105.158147,51,27.887233
-128.579624,146,28.507558
-196.119223,87,28.865153
18.246066,104,29.298049
-92.373292,92,29.723209
-103.967517,96,30.184647
-127.042758,70,30.494374
-91.842442,96,30.938628
-201.479518,173,31.73654
-132.566669,123,32.359238
-142.882558,306,33.87921
-150.671184,79,34.25747
-155.543357,86,34.665771
-194.638327,188,35.57421
-191.35761,133,36.165574
-309.468349,117,36.730338
-127.97126,137,39.152926
-192.689291,208,40.094665
-86.583345,71,40.40853
-148.125948,92,40.814506
-191.563782,263,41.962936
-166.418557,118,42.462977
-161.050683,73,42.763856
-211.89425,182,43.555779
-124.370689,79,43.872606
-136.153932,94,44.278929
-135.891249,148,45.023062
-94.51431,81,45.405475
-191.345488,112,45.903402
-170.25105,107,46.423076
-271.247332,247,47.495922
-125.956284,193,48.318734
-173.98136,93,48.72099
-31.870058,239,49.759654
-318.302495,217,50.757059
-333.218656,203,51.811273
-99.994483,101,52.307369
-165.358039,134,52.946376
-119.677216,123,53.481763
-225.590816,226,54.589533
-717.869452,220,55.663947
-474.753247,412,57.600682
-194.690571,93,58.014925
-132.83548,113,58.532002
-182.963172,97,58.964525
-257.214195,357,60.517725
-55.000668,95,60.922137
-138.08989,110,61.442486
-216.245631,167,62.223237
-217.869636,199,63.161968
-172.200531,134,63.812724
-25.960811,145,64.488236
-23.844183,195,65.455948
-132.695506,140,66.152359
-158.881211,73,66.486113
-169.85955,130,67.119999
-84.63443,111,67.628133
-116.17135,116,68.139485
-125.764453,94,68.569549
-56.776624,161,69.272341
-146.730006,127,69.816332
-97.845701,125,70.357117
-122.914435,95,70.768491
-156.481871,169,73.213848
-117.170664,123,73.751525
-119.716866,93,74.160955
-171.367348,283,75.624667
-89.729405,163,76.388456
-108.639233,94,76.834361
-68.16228,128,77.460941
-146.171429,133,78.063216
-253.260296,114,78.589215
-203.926032,215,79.70337
-126.848789,71,80.024933
-202.852768,206,80.962624
-163.216048,126,81.520969
-566.320625,163,82.266205
-178.338401,235,83.295174
-252.269719,318,84.710133
-302.51769,187,85.662858
-141.720422,124,86.280856
-220.786642,117,86.841118
-82.53089,134,87.465965
-161.22061,160,88.241951
-168.670632,252,89.542377
-241.280922,155,90.302547
-72.064043,284,91.647712
-106.37068,126,92.233684
-164.311768,103,92.714497
-124.311936,189,93.591938
-213.04618,96,94.018134
-210.504694,164,94.72909
-164.999665,134,95.328233
-51.272711,130,95.88888
-136.61502,140,96.590574
-134.157129,127,97.240295
-178.008019,209,98.319546
-5.407209,133,99.037495
-167.034663,187,99.956022
-136.86103,134,100.645199
-105.669329,137,101.321256
-351.705988,219,102.362695
-182.624843,136,102.932826
-68.107397,227,103.898135
-59.36439,126,104.448237
-89.443508,176,105.190262
-49.173145,236,107.987209
-316.577273,119,108.494786
-195.240674,642,111.612063
-256.896022,578,114.422514
-271.741364,90,114.818906
-146.982186,1000,119.195049
-148.401653,1000,123.671819
-118.12694,1000,128.498304
-103.756888,1000,132.881857
-297.674868,113,133.387195
-200.291155,690,136.784058
-177.855794,262,138.092071
-121.994661,243,141.007648
-105.305078,309,142.366525
-171.641877,114,142.84843
-120.595422,212,143.786584
-87.220143,175,144.543447
-91.574114,122,145.104603
-104.210693,171,145.853197
-24.654682,114,146.391339
-190.357888,284,147.716684
-197.525673,536,150.381831
-268.920699,776,153.934405
-502.768908,1000,158.421607
-324.011937,1000,163.28637
-100.975589,238,164.346412
-205.917546,1000,168.838322
-167.783115,1000,175.300902
-224.42345,1000,179.611587
-239.944162,1000,184.576152
-164.491605,1000,189.225186
-131.576209,1000,193.959517
-139.264525,1000,198.733129
-145.682509,1000,203.613965
-135.016856,447,205.920656
-97.456133,1000,212.634173
-154.254246,1000,217.024122
-150.846119,1000,221.865383
-144.781316,1000,226.513414
-121.248208,376,228.211073
-129.179916,418,230.333709
-142.30768,1000,235.158172
-167.774815,1000,239.731108
-145.172905,1000,246.321113
-175.45783,1000,250.857283
-172.50597,1000,255.765343
-185.735758,1000,260.251009
-184.399081,1000,265.082366
-264.082167,1000,269.911736
-180.153293,1000,274.588795
-214.594954,1000,281.273725
-150.219244,481,283.431026
-187.768241,1000,288.067013
-203.353792,1000,292.846027
-163.330163,501,295.131469
-172.648158,1000,299.801698
-145.677711,1000,304.493059
-143.338672,1000,309.129827
-137.196855,1000,315.64942
-149.171995,1000,320.096064
-114.868863,1000,324.892374
-77.608217,1000,329.356666
-108.896609,1000,334.002372
-94.075726,1000,338.649648
-109.097222,1000,343.074799
-90.147727,1000,349.886566
-99.458538,1000,354.325261
-95.580105,1000,359.160507
-108.557454,1000,363.787426
-94.054778,1000,368.36109
-62.851502,1000,373.111548
-115.179437,1000,379.433351
-93.1216,1000,384.57418
-140.245091,1000,389.142776
-344.476487,499,391.697685
-404.107411,631,394.899739
-493.868377,880,398.961066
-252.827962,599,401.784484
-372.559406,987,406.673811
-410.147324,832,410.442194
-158.139647,1000,417.010592
-54.107063,1000,421.945698
-96.776595,1000,426.527344
-120.085312,1000,431.215555
-108.903828,1000,436.123946
-74.75117,1000,440.966777
-81.475853,1000,447.59812
-69.901374,1000,452.16338
-76.666122,1000,457.135068
-86.044821,1000,461.627652
-86.370065,1000,466.305607
-85.675588,1000,470.791717
-98.517979,1000,475.865377
-150.984003,1000,482.199275
-137.226438,1000,487.469765
-60.707322,1000,491.97811
