#{"t_start": 1748356588.0563595, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-117.682979,112,0.114789
-496.983571,117,0.680056
-728.879119,61,0.950202
-818.813202,99,1.418468
-820.30903,68,1.732565
-1051.688804,90,2.13716
-1492.734885,130,2.704286
-1220.318918,111,3.170173
-899.392078,85,3.526702
-963.204638,83,3.87349
-662.990908,67,4.167325
-1057.821285,122,4.719442
-832.222181,100,5.149905
-1114.175081,159,5.827112
-977.276619,119,6.328195
-997.691305,129,6.872603
-710.278565,76,7.182791
-988.831513,155,7.824697
-1056.438348,133,8.409204
-881.416229,110,8.918822
-796.744371,90,9.352851
-940.439606,133,11.094028
-648.677303,92,11.512537
-1022.623062,154,12.18797
-1013.760963,126,12.736949
-639.023023,110,13.199071
-548.764082,85,13.561485
-690.980012,95,13.988993
-682.227073,95,14.379757
-954.893144,123,14.905157
-912.30366,148,15.532269
-1078.985566,149,16.158896
-1222.371149,167,16.840451
-624.42219,129,17.374728
-783.515984,110,17.845123
-835.713869,119,18.381257
-975.251201,227,19.314436
-174.667848,61,19.570475
-268.800317,86,19.953408
-228.708526,72,20.266839
-21.67626,74,20.572986
-116.504016,69,20.863059
-281.078312,90,21.259737
-149.813906,58,21.51688
-227.327899,82,21.866764
-373.749398,83,22.210982
-289.503768,55,22.44484
-219.732935,85,22.783508
-94.684653,55,22.9985
-89.939478,55,23.230351
-188.767949,78,23.545274
-122.535719,84,23.902738
-172.457571,77,24.25822
-125.333742,77,24.638382
-111.05789,61,24.943461
-151.605592,64,25.226318
-174.742146,70,25.531012
-97.315613,59,25.79636
-150.590785,80,26.142861
-131.974299,73,26.470617
-106.09636,77,26.812282
-146.604021,70,27.12841
-150.769439,83,27.481658
-174.307614,75,27.837524
-307.953557,71,28.163268
-305.376074,50,28.399147
-136.961637,77,28.777831
-152.985563,55,29.057647
-114.781855,71,29.40573
-142.290686,82,29.827954
-142.871049,53,30.094211
-151.90741,77,30.499231
-135.898827,83,30.943926
-130.803903,59,31.245152
-145.56404,76,31.597048
-93.612414,55,31.875111
-125.979039,71,32.265354
-115.91954,88,32.719304
-106.503033,72,33.084322
-107.131633,54,33.36105
-114.857612,89,33.792562
-134.097558,55,34.083438
-142.280611,68,34.45476
-140.338023,78,34.811289
-127.890682,55,35.075896
-106.804501,84,35.469511
-136.127775,55,35.727918
-156.560638,70,36.042313
-142.543347,66,36.332785
-120.43878,72,36.654201
-146.022164,70,36.967045
-97.292538,85,37.351393
-128.985019,84,37.718521
-97.347683,88,38.103469
-112.586737,62,38.390294
-132.286494,77,38.747642
-118.25427,63,39.03149
-115.678455,80,39.402749
-123.76525,58,39.658056
-144.888418,68,39.964231
-131.363886,53,40.207817
-141.133863,62,40.488792
-143.777889,71,40.808405
-136.276495,55,41.03972
-115.649496,54,41.263123
-138.515338,71,41.566998
-136.04899,78,41.881459
-148.272812,80,42.234047
-88.440178,53,42.483026
-120.746904,69,42.803557
-144.407081,73,44.278166
-120.202075,66,44.593375
-150.266932,70,44.902617
-134.111693,82,45.276728
-173.442554,77,45.597814
-126.733172,52,45.827322
-115.239362,82,46.16514
-162.845685,67,46.482383
-122.108761,75,46.799009
-113.234032,60,47.049998
-127.353469,76,47.383479
-142.990507,77,47.728107
-147.018795,78,48.073759
-125.519531,63,48.359912
-100.180757,81,48.722256
-135.378677,69,49.03437
-156.717463,80,49.382721
-126.84005,51,49.593951
-116.529627,57,49.854293
-119.210021,57,50.100007
-134.76497,86,50.495137
-144.783438,69,50.803591
-139.419937,80,51.202439
-126.949273,55,51.460129
-159.83723,69,51.81907
-129.022939,71,52.188439
-123.278905,53,52.450371
-124.89242,58,52.727873
-141.559753,66,53.095586
-140.074734,54,53.370442
-126.789637,54,53.637702
-101.175316,89,54.071353
-128.178113,61,54.404664
-132.661107,62,54.694788
-120.119606,86,55.156959
-116.639572,88,55.583333
-134.229145,74,55.950809
-140.035977,59,56.24841
-126.290877,59,56.504746
-122.08412,61,56.761174
-113.917834,87,57.147266
-121.559104,63,57.421396
-118.728691,81,57.769603
-141.91584,73,58.073828
-122.281617,82,58.449031
-132.558303,61,58.732093
-129.78141,61,59.005514
-104.05788,54,59.267174
-114.530192,80,59.639868
-125.158204,60,59.922685
-110.742372,62,60.216491
-147.496521,84,60.614681
-101.817008,56,60.861896
-138.088397,62,61.151024
-152.019466,67,61.4753
-103.830109,54,61.731455
-112.73451,86,62.172368
-106.13531,54,62.4357
-85.338761,52,62.704777
-112.660743,85,63.08468
-147.519592,78,63.512184
-117.569108,74,63.91864
-113.444481,56,64.194614
-146.125292,63,64.527741
-100.179452,52,64.795923
-123.697089,70,65.135188
-137.567059,66,65.476037
-143.532114,65,65.870434
-127.021005,84,66.314794
-128.99292,56,66.626585
-136.85445,68,66.983956
-150.444493,67,67.329115
-106.637437,53,67.574948
-104.063262,55,67.806839
-121.906222,68,68.104507
-121.169349,60,68.372891
-103.485048,52,68.612823
-115.956119,61,68.895786
-111.699997,86,69.299349
-118.212941,77,69.644427
-115.388364,58,69.887643
-116.120722,66,70.188792
-91.838476,51,70.401843
-125.049755,73,70.715267
-130.560843,74,71.048005
-111.671396,84,71.401822
-116.054213,81,71.760259
-130.99997,87,72.152493
-116.049236,61,72.429118
-136.461345,70,72.735965
-97.289936,56,72.983825
-123.916015,84,73.397327
-113.307805,91,73.848305
-157.58841,73,74.221254
-145.606355,73,74.565023
-139.864611,79,74.977447
-153.152193,66,75.292729
-101.331633,80,75.769843
-146.028072,87,76.251805
-114.281846,92,77.849247
-137.885155,82,78.308466
-108.70531,56,78.616924
-155.941628,58,78.895008
-110.96853,53,79.182037
-124.022103,83,79.605915
-133.903156,51,79.869488
-157.049971,76,80.243007
-149.263919,49,80.465307
-122.296913,55,80.709286
-85.039365,53,80.938603
-187.966756,59,81.196737
-120.111782,56,81.450569
-131.789361,59,81.706937
-141.097288,71,82.013776
-137.225034,62,82.281154
-114.492977,62,82.561616
-123.988904,70,82.865432
-111.421383,88,83.257792
-123.970817,81,83.625136
-130.981408,75,83.976951
-132.422494,65,84.252312
-137.946706,58,84.511737
-7.578161,69,84.803356
-107.935117,87,85.189454
-127.408159,69,85.532312
-137.064785,57,85.845381
-84.838789,52,86.140963
-110.105519,92,86.648294
-115.765585,55,86.919283
-87.148446,52,87.165056
-119.217912,59,87.43502
-113.505068,85,87.847776
-92.048574,50,88.083503
-139.643108,96,88.594638
-137.751686,65,88.938024
-98.212441,61,89.247437
-94.884399,65,89.566072
-136.173792,63,89.873415
-105.240814,59,90.160037
-132.997971,74,90.565259
-142.401737,64,90.91722
-122.402518,65,91.221541
-107.085889,58,91.484754
-128.751877,62,91.764798
-140.783603,61,92.03862
-132.711676,65,92.322924
-111.327892,55,92.564143
-117.783942,72,92.902283
-145.624645,86,93.283996
-128.519784,64,93.580562
-131.550238,78,93.943598
