#{"t_start": 1748356830.8802252, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-449.936868,108,0.133294
-163.901232,68,1.816712
-545.971628,77,2.163954
-311.411612,81,2.511524
-148.17598,71,2.866302
-134.657648,69,3.231949
-123.53668,55,3.515499
-99.700716,53,3.770946
-326.798802,77,4.124109
-266.126274,76,4.51064
-130.691989,53,4.781125
-175.443133,63,5.120618
-166.944686,78,5.509254
-210.529046,76,5.883646
-131.349417,57,6.170271
-42.335112,94,6.642661
-128.7267,59,6.926413
-170.352154,64,7.238289
-259.412386,83,7.690177
-152.944281,53,7.967939
-50.747761,68,8.284355
-180.665487,65,8.589328
-332.104295,85,9.022658
-391.0576,65,9.326236
-42.474799,67,9.681333
-628.498284,348,11.244817
-441.622118,182,12.122052
-481.030869,75,12.511651
-439.315262,88,12.924044
-546.994641,75,13.252954
-583.157292,204,14.261773
-105.142582,105,14.804615
-160.030286,261,16.099399
-327.103168,503,18.594818
-100.717026,464,20.897538
-222.268545,83,21.32872
-276.368099,319,22.916924
-145.141281,147,23.664057
-256.935952,98,24.138765
-85.926771,136,24.84693
-167.45362,79,25.254219
-193.892745,163,26.048963
-150.592093,259,27.345927
-156.954812,306,28.898036
-790.540075,622,32.016215
-442.798891,179,32.928812
-176.892743,643,37.74488
-213.671772,1000,42.690789
-150.976244,293,44.009777
-186.466433,1000,49.278392
-92.491779,1000,55.55629
-92.416756,1000,60.330585
-125.637781,1000,65.443141
-56.678108,1000,71.998524
-73.007905,443,74.155345
-106.541107,740,77.826904
-31.798229,163,78.666756
-59.402355,182,79.539278
-96.743909,118,80.175169
-16.689288,168,81.023569
-68.991912,162,81.723941
-75.964272,191,82.502801
-64.600291,176,83.320053
-140.275055,183,84.097218
-73.046051,209,84.963287
-208.032249,185,85.820433
-155.511057,195,86.737978
-294.740741,148,87.44177
-99.700883,168,88.302507
-307.601365,113,88.928966
-254.397189,128,89.585013
-133.083949,143,90.345306
-87.083281,137,91.162702
-132.202826,115,91.706157
-254.210388,137,92.327448
-95.198548,165,93.095626
-118.152266,175,93.878891
-112.532965,135,94.480619
-121.837364,158,95.17947
-95.383191,177,95.950867
-265.730798,141,96.57664
-278.487287,163,97.406454
-291.002044,120,98.006685
-174.873328,214,99.192597
-370.133583,153,99.967891
-261.248354,113,100.493703
-256.63564,168,102.827103
-280.496129,146,103.620131
-93.372651,182,104.49937
-138.608736,129,105.098489
-93.246528,128,105.659181
-162.7532,167,106.517945
-143.133786,164,107.434449
-189.500895,173,108.353075
-203.260128,164,109.136862
-328.434215,276,110.411105
-146.841945,262,111.690988
-107.270389,288,113.207788
-122.623754,513,115.775238
-154.605609,594,118.503997
-286.419244,1000,122.934307
-308.780795,1000,128.099839
-112.603078,161,128.891764
-242.530111,858,132.761864
-129.547548,391,134.712134
-82.920263,323,137.691915
-105.621839,358,139.366894
-70.156301,228,140.452188
-1.038971,183,141.338052
-95.537159,441,143.299867
-57.811128,232,144.37221
-70.245471,431,146.226492
-108.536622,396,148.12541
-87.653518,260,149.315016
-105.822984,232,150.371012
-154.919084,237,151.596819
-165.436419,330,153.266618
-3.976067,225,154.396168
23.294623,257,155.692156
269.616424,288,157.110803
-208.482565,466,159.483606
-213.556937,477,162.004268
-74.67429,240,163.353882
-95.107534,675,167.220926
-126.266772,223,169.947075
-9.867505,316,171.820517
-62.924819,380,173.803376
-154.75038,411,175.838292
-153.598168,430,177.957019
-120.228625,462,180.45555
-82.478808,267,181.817624
-127.570565,301,183.355317
10.437903,270,184.725045
-112.428309,250,185.900442
-103.582186,203,186.806445
-154.270481,252,187.972725
-21.141019,273,189.124834
-130.245801,216,190.078902
-150.836221,229,191.310535
-93.936365,203,192.311921
-64.878241,250,193.626819
-64.92359,288,195.123866
-137.253553,285,196.58248
-122.042049,230,197.666184
-78.421459,275,198.973754
-95.575096,236,200.127214
-116.116199,289,201.507923
-126.372234,230,204.189454
-74.593946,227,205.321272
-65.848967,237,206.528864
-100.881326,191,207.56054
-137.105362,259,208.871638
-98.006949,242,210.050205
-89.009207,229,211.124211
-90.623563,234,212.26259
-118.867835,346,213.766272
-38.381763,372,215.586676
-102.870174,285,217.027978
-77.744237,426,219.188658
-140.247478,294,220.65684
-113.486125,306,222.141485
120.455591,546,224.932565
-142.726828,298,226.674994
-204.155525,359,228.568144
-129.628849,331,230.20078
-215.309291,385,232.142706
-204.330377,381,234.036746
-172.79026,376,237.535062
-196.349434,534,240.324793
-235.746456,556,243.26735
-183.531799,619,246.187527
-172.943586,1000,251.098318
-171.496389,787,254.944267
-168.71376,612,257.8742
